espn_rank,name,pos,pos_tag,team,auction_value,bye
1,Jahmyr Gibbs,RB,RB1,DET,57,6
2,Bijan Robinson,RB,RB2,ATL,56,11
3,Ja'Marr Chase,WR,WR1,CIN,56,6
4,Puka Nacua,WR,WR2,LAR,55,11
5,Jonathan Taylor,RB,RB3,IND,54,13
6,Jaxon Smith-Njigba,WR,WR3,SEA,53,11
7,Christian McCaffrey,RB,RB4,SF,52,8
8,Amon-Ra St. Brown,WR,WR4,DET,52,6
9,James Cook III,RB,RB5,BUF,51,7
10,CeeDee Lamb,WR,WR5,DAL,50,14
11,Justin Jefferson,WR,WR6,MIN,48,6
12,De'Von Achane,RB,RB6,MIA,46,6
13,Omarion Hampton,RB,RB7,LAC,45,7
14,Chase Brown,RB,RB8,CIN,43,6
15,Saquon Barkley,RB,RB9,PHI,42,10
16,Derrick Henry,RB,RB10,BAL,40,13
17,Ashton Jeanty,RB,RB11,LV,38,13
18,Drake London,WR,WR7,ATL,37,11
19,Jeremiyah Love,RB,RB12,ARI,36,14
20,A.J. Brown,WR,WR8,NE,35,11
21,Trey McBride,TE,TE1,ARI,34,14
22,Brock Bowers,TE,TE2,LV,33,13
23,Nico Collins,WR,WR9,HOU,32,8
24,Chris Olave,WR,WR10,NO,32,8
25,Rashee Rice,WR,WR11,KC,31,5
26,Josh Allen,QB,QB1,BUF,30,7
27,George Pickens,WR,WR12,DAL,30,14
28,Kenneth Walker III,RB,RB13,KC,29,5
29,Garrett Wilson,WR,WR13,NYJ,28,13
30,Breece Hall,RB,RB14,NYJ,27,13
31,Javonte Williams,RB,RB15,DAL,26,14
32,Kyren Williams,RB,RB16,LAR,25,11
33,Malik Nabers,WR,WR14,NYG,24,8
34,DeVonta Smith,WR,WR15,PHI,23,10
35,Travis Etienne Jr.,RB,RB17,NO,22,8
36,Tetairoa McMillan,WR,WR16,CAR,22,5
37,Zay Flowers,WR,WR17,BAL,22,13
38,Emeka Egbuka,WR,WR18,TB,21,10
39,Quinshon Judkins,RB,RB18,CLE,21,11
